"Site","FireFreq","meanSeed","meanHeight","meanN","meanP","meanStem","CV_Seed","CV_Height","CV_N","CV_P","CV_Stem","n","logRR_Seed1","logRR_Seed","logRR_v_Seed","logRR_Height1","logRR_Height","logRR_v_Height","logRR_N1","logRR_N","logRR_v_N","logRR_P1","logRR_P","logRR_v_P","logRR_Stem1","logRR_Stem","logRR_v_Stem","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"TallTimbers",0.3333333,0.387239799523975,0.0264890064874799,0.278864217464277,0.0295764469404621,0.000409891901836118,0.336939850611343,0.204716825307356,0.254491589015512,0.149267483570312,0.227578545561695,3,-2.16904434860067,-2.34099567434769,0.493169135873045,-2.1167035077092,-2.13875190340066,0.0738195424794043,-0.959929723616001,-0.96251381353174,0.0489364915978787,-1.00018285543514,-1.00418601423356,0.0230068441777896,-0.677899029046901,-0.705740454949536,0.0930204923456774,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,0.276489353422112,0.0199152749757741,0.25392448383527,0.0233494428974775,0.000271571794844046,0.534367484746778,0.383813955886418,0.160078326578443,0.102602855894333,0.523102738927914,3,-2.50591617132899,-2.64919747277191,0.554323034262715,-2.40194628108971,-2.40642731441962,0.110062311784931,-1.05361779613833,-1.06272536909399,0.0356929707136277,-1.236588063498,-1.24255012823204,0.0190676096278539,-1.08956595777638,-1.08043330350003,0.170979458816194,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,0.141130438609515,0.0136558544974527,0.236743828521596,0.023273556326414,0.000159395107970534,0.860760606137038,0.323430616416178,0.179567289139518,0.164634223470986,0.373311555875068,3,-3.17840392748608,-3.24579186020853,0.732076875769684,-2.7792649745069,-2.79086363935312,0.09522935628335,-1.1236760469812,-1.13168039648873,0.0379206985996942,-1.23984339410058,-1.24304261191791,0.0246279604044588,-1.62240642431169,-1.63565292965601,0.123140290237063,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",1,0.273293037732786,0.152848126704801,1.73154266204542,0.215981439076481,0.000840842417203139,0.951038946743824,0.794870408810673,0.383359771060911,0.559644836779282,0.438415635874848,48,-0.813656588760015,-0.810484804516401,0.0315985475577647,-1.01006089175872,-1.01046309773724,0.0273143759785368,-0.463350405604542,-0.465105680501678,0.00966036440924395,-0.166258749806987,-0.166986286988446,0.0145583013158736,-0.396435898748823,-0.397868766704117,0.0109060301476171,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0.333,0.198748756086977,0.0394004885699241,0.662814140766953,0.150158919277423,0.00247306598753098,0.121065098001949,0.348512453583164,0.0839030791239147,0.0409888702514428,0.676691344648079,3,-0.400173825934866,-0.523677457942652,0.288515374400902,0.323167267926227,0.338664573359085,0.0508439928184154,-0.257481915447942,-0.269882181413474,0.0298649189864398,0.267173228605561,0.25920237936468,0.0171980671286914,0.653341592283947,0.702677329522102,0.219707820777086,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,0.127579700832233,0.0227767304080132,0.578195894821108,0.0666522591042444,0.00169454836670428,0.420646434846254,0.116496449339512,0.186326151543484,0.0903274525213718,1.16926623375485,3,-0.84347404689931,-0.939929901374656,0.344338382490333,-0.224871529894905,-0.227355809061021,0.014071458394044,-0.394063806037435,-0.401851120659212,0.0391550295919354,-0.545032025418845,-0.551923047793974,0.0193612623813835,0.275299175916066,0.476180304733823,0.614993500996801,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0.25,8.05139896510112,0.0746100229396928,0.344935215023637,0.0350107493454355,0.00045179185697257,0.522088494214326,0.38843426381589,0.00826107205793569,0.0805513050279241,0.039115323990439,2,-1.59582378701604,-1.5342728650557,0.158848728278682,-1.94452865991713,-1.94196995410504,0.1510820815039,-1.06733204896123,-1.08865665249347,0.0436283862762195,-1.03074610010307,-1.03993274726904,0.0251007289225362,-1.99039907366846,-2.18459120045819,0.465633127214519,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,0.784763930748796,0.018603741683598,0.433011545896045,0.0440799616113499,0.000105478441184963,0.153511263581695,0.223110087075111,0.190749943237895,0.133036053759532,0.184773079140905,2,-3.92404197941972,-3.92474372939552,0.0251255657880809,-3.333440787589,-3.35615784836479,0.0979946396612496,-0.839924273285126,-0.852169552933943,0.0619525219087239,-0.800395944636428,-0.806780072087846,0.0307396607700175,-3.44511407094118,-3.63115342717983,0.482084077460823,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0.08823529,5.06730028640233,0.035976330228276,0.244166899050002,0.0116007892812633,0.00842660668813769,0.180045505714636,0.176546491217299,0.0419377392657323,0.167409026026703,0.706394143849572,2,-0.732945789188524,-1.09739313759156,1.03903159118039,-1.04779306594666,-1.04321490734089,0.0221544417337728,-0.271550164016361,-0.285101567496268,0.02925346918432,-0.386695255437451,-0.395303151922275,0.0458273708730753,-0.644064623299162,-0.520504010376378,0.282998493853893,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,11.3970960644792,0.0569056469054069,0.236513869512709,0.0124548115788041,0.00826758869728275,0.321039630511702,0.331812930492404,0.0585991096997655,0.0963316252711128,0.651960324453603,2,0.0776046146844092,-0.269180218660867,1.07555310504503,-0.589259715666183,-0.564948767740209,0.0630138309943366,-0.303395316893167,-0.316527949952353,0.0300920972856102,-0.315661372280597,-0.32895576875738,0.0363669546264119,-0.663115891934422,-0.558040384462469,0.23748774877079,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
