oldspec,WoodDensity (g/cm3),LMA,LeafNitrogen,MaxHeight,DrySeedMass(mg),MaxTrunkDiameter,Serotiny,reseedtime,reseedsite,Btat20,RootResprout,Adventitious bud,Sites,Symbiosis,FireTolerance,DroughtTolerance,C:Ngreen_observed,C:Nsenes_observed,C:Nroots_observed,C:Pgreen_observed,C:Psenes_observed,C:Proots_observed,Barkat10cm
Azima tetracantha,NA,136.5001365,NA,3,31.24,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,3,NA,NA,NA,NA,NA,NA,NA
Balanites maughamii,0.689,126.9035533,39,20,NA,0.224,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bauhinia galpinii,0.72,83,23,7.1,313.4971429,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bauhinia thonningii,0.72,83,23,2.7,126.1026667,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betula lenta,0.53262725,49,27.5025,23,0.73,0.325,NA,NA,0,4,1,NA,All forest,NA,1,2,NA,NA,NA,NA,NA,NA,NA
Betula papyrifera,0.52,70,24.23086948,24.3,0.32,0.204,NA,NA,0,4.1072308,1,NA,>90% forest,ecto,3,1,18.14865993,63.69116902,30.66666667,242.9402103,437.0546318,560.9756098,11.176
Brachystegia spiciformis,0.67153425,117.7163037,24,25,457.1833333,1.2,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bumelia lanuginosa,0.875,59,NA,12,80,0.0993,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkea africana,0.61246,119.5814649,15,8,94.14285714,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callitropsis nootkatensis,0.495,NA,NA,34,3.2,NA,NA,1,0,16.11795354,0,NA,All forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calocedrus decurrens,0.420333333,NA,NA,46,34.35023371,0.845,NA,NA,NA,NA,NA,NA,NA,am,1,2,NA,NA,NA,NA,NA,NA,NA
Canthium,0.838851717,117.0238126,19,18,NA,0.5,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya,0.618,65.33333333,15.25,32,3200,0.3947,NA,NA,NA,8.3,NA,NA,NA,NA,2,2,25.50166549,58.87680546,104.3172388,329.122968,590.3333333,507.1932126,10.0076
Carya cordiformis,0.5925,45,20,26,2852.228724,1.1276,NA,NA,NA,NA,NA,NA,NA,ecto,2,3,NA,NA,NA,NA,NA,NA,NA
Carya glabra,0.71,66,15,30.4,3489.17306,0.3947,NA,NA,NA,NA,NA,NA,NA,ecto,2,3,NA,NA,NA,NA,NA,NA,NA
Carya ovata,0.607517395,67,17,30.66666667,4361.875804,1.1276,NA,NA,NA,NA,NA,NA,NA,ecto,3,2,NA,NA,NA,NA,NA,NA,NA
Carya spp.,0.618,65.33333333,15.25,32,3200,0.3947,NA,NA,NA,8.3,NA,NA,NA,NA,2,2,25.50166549,58.87680546,104.3172388,329.122968,590.3333333,507.1932126,10.0076
Carya texana,0.612,49.94018601,NA,41,5473.66,1.6957,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carya tomentosa,0.612,49.94018601,NA,2.032,5473.66,1,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia abbreviata,0.882525,191.5708812,32,7,110,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia aethiopica,0.882525,191.5708812,20,4,20,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia transversali-seminata,0.882525,191.5708812,20,4,20,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celtis laevigata,0.47,53,NA,26.625,108.9881261,0.1375,NA,NA,NA,NA,NA,NA,NA,am,2,1,22.11538462,34.24399567,20.13863375,235.9199185,431.75078,201.8376143,9.144
Celtis occidentalis,0.49,83,25,28.8125,112.9900379,0.2499,NA,NA,NA,NA,NA,NA,NA,am,3,2,17.96509132,34.24399567,20.13863375,198.5147358,431.75078,201.8376143,9.144
Cephalanthus occidentalis,NA,79,NA,4,2.520835299,NA,NA,NA,NA,NA,NA,NA,NA,am,2,2,23.37221088,35.38048175,38.33333333,269.5662628,437.6205461,589.3323038,NA
