oldspec,WoodDensity (g/cm3),LMA,LeafNitrogen,MaxHeight,DrySeedMass(mg),MaxTrunkDiameter,Serotiny,reseedtime,reseedsite,Btat20,RootResprout,Adventitious bud,Sites,Symbiosis,FireTolerance,DroughtTolerance,C:Ngreen_observed,C:Nsenes_observed,C:Nroots_observed,C:Pgreen_observed,C:Psenes_observed,C:Proots_observed,Barkat10cm
Lannea schweinfurthii,0.55104,206.7112244,18,22,38.125,0.1,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larix lyallii,NA,90,21,19.38461538,3.36552894,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Larix occidentalis,0.520545246,90,18.78277778,55.28571429,3.245580111,0.1773,0,0,1,9.906,0,NA,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Libocedrus decurrens,0.48,97,16,52,3.2,2,NA,0,1,14.4942941,0,NA,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Ligustrum japonicum,0.35,148.4651163,NA,60,31.32495974,1.2,NA,0,1,13.49562389,1,NA,>90% forest,am,2,2,NA,NA,NA,NA,NA,NA,NA
Liquidambar styraciflua,0.481552945,54,12,36.5,5.315804699,0.325,NA,NA,NA,NA,NA,NA,NA,am,1,1,NA,NA,NA,NA,NA,NA,NA
Liriodendron tulipifera,0.366438342,54,16.41111425,49.8125,46.19508874,0.325,NA,NA,0,13.46757832,1,1,All forest,am,1,2,28.53433496,83.18564867,57.37646123,342.9713246,1184.422272,974.9225029,9.144
Lithocarpus densiflorus,0.4,36,20,37,31,1.7857,NA,0,1,10.72,1,1,>90% forest,NA,2,1,21.00284608,58.35095138,29.59328783,435.1351352,1743.524955,232.9649858,10.414
Lonchocarpus capassa,0.75768,NA,NA,10,NA,1.52,NA,0,1,12.0580658,1,1,All forest,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophostemon confertus,0.747491236,83,NA,28,4.612549115,2,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maerua parvifolia,NA,NA,31,2,51,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magnolia acuminata,0.48,44.64285714,22.95,26.4,94.71623236,0.3947,NA,NA,NA,NA,1,NA,NA,am,0,0,NA,NA,NA,NA,NA,NA,NA
Magnolia fraseri,0.44,44,22.95,24,108.2521653,0.2499,NA,NA,NA,7.4,1,NA,NA,NA,2,1,24.03785579,50.28734246,24.51442999,332.2066492,999.9579996,621.9694715,9.144
Manilkara mochisia,1.07625,371.7472119,16,7.7,150.0833333,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monotes,0.758,NA,10,8.957142857,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morus rubra,NA,29,29,17.2375,14.17590141,NA,NA,NA,NA,NA,NA,NA,NA,am,1,2,NA,NA,NA,NA,NA,NA,NA
Mundulea sericea,0.839475,NA,24,7.5,34.42857143,NA,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyssa biflora,0.49175,61,15.5,37,112.5,1.21,NA,NA,0,11.6521712,1,1,>90% forest,NA,1,0,NA,NA,NA,NA,NA,NA,NA
Nyssa sylvatica,0.50974508,61,15.5,25.1,180.6398345,1.7,NA,NA,0,11.6,1,1,>90% forest,am,2,0,29.09945326,91.08910891,37.67558049,427.5092937,1022.222222,345.3802671,9.906
Ochna natalitia,0.6915,109.2896175,16.5,1.8,84,0.0651,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olea europaea,0.80633,160,16,16.25,249.3829412,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ormocarpum trichocarpum,NA,NA,28,2.2,5.48,NA,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostrya virginiana,0.63,23,27,15.8,15.69333087,NA,NA,NA,NA,NA,NA,NA,NA,ecto,2,2,NA,NA,NA,NA,NA,NA,NA
Oxydendrum arboreum,0.457819515,41,15.2,20.5,0.175321677,0.346,NA,NA,NA,10.6,1,1,All forest,NA,1,2,NA,NA,NA,NA,NA,NA,NA
Ozoroa engleri,0.715,NA,NA,6.9,119.24,0.0399,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozoroa sphaerocarpa,0.715,NA,NA,7.5,199.94,0.047,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pappea capensis,0.882525,290,13.6118928,49,145.04,0.9393,NA,NA,NA,10.8966,0,0,>90% forest,am,2,2,NA,NA,NA,NA,NA,NA,NA
Parinari curatellifolia,0.61992,NA,14,7.7,3249.571429,0.0466,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pavetta schumanniana,NA,NA,NA,8.4,40.89,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peltophorum africanum,0.59409,64.68305304,15,15,213.7075,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllanthus reticulatus,NA,34,22,3.8,1.53,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Picea breweriana,0.366,263.333,13,42.325,7.750403834,0.5882,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Picea engelmannii,0.455650849,301.4249218,10,43.55384615,3.124535034,0.588,0,1,0,9.906,0,0,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Picea pungens,0.33,310,10,34.72307692,4.306265765,0.6149,0,0,1,7.3346056,0,0,>90% forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Pinus albicaulis,0.454386346,470,13.175,32,151.0088436,0.4618,0,1,0,8.143748,0,0,All forest,NA,1,2,NA,NA,NA,NA,NA,NA,NA
Pinus attenuata,0.447,240,10,17,16.59539346,0.1773,1,0,1,6.333446457,0,0,All forest,NA,0,3,NA,NA,NA,NA,NA,NA,NA
Pinus attenuate,0.447,246.5264429,11.39508272,12,15,0.1095,NA,0,1,6.6276093,0,0,>90% forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus balfouriana,0.447,246.5264429,11.39508272,16.25,26.93595704,0.1095,0,0,1,6.646926,0,0,>90% forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus banksiana,0.43,260,12,24.4,3.54329662,NA,1,0,0,NA,NA,NA,NA,ecto,0,NA,NA,NA,NA,NA,NA,NA,NA
Pinus contorta,0.40724681,230,11,26.73076923,4.676501968,0.2341,1,NA,NA,NA,NA,NA,NA,NA,1,1,38.89783321,141.4544018,49.01937925,353.8461538,5750,534.17358,10.16
Pinus coulteri,0.38,230,11,20,298.332567,0.195,1,1,0,7.360557143,0,0,All forest,NA,0,1,NA,NA,NA,NA,NA,NA,NA
Pinus echinata,0.505287202,120.2067556,11.39508272,37.33333333,16.57001989,0.1941,0,NA,NA,11.264392,1,0,Mixed,ecto,3,1,NA,NA,NA,NA,NA,NA,NA
Pinus edulis,0.568095508,245.725172,10.89329167,36,239.3914166,0.5619,0,0,1,18.3,1,1,All forest,NA,1,2,37.60217985,90.19607843,49.01937925,563.2653059,1150,534.17358,8.89
Pinus flexilis,0.46178109,250,11.6,19.16666667,113.5523875,0.0976,0,1,1,13.809218,0,0,Mixed,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Pinus jeffreyi,0.391666667,160,10.89,55,117.1612255,0.1772,0,0,1,6.7201415,0,0,Mixed,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Pinus lambertiana,0.366666667,290,11,62.55555556,213.0803386,0.9393,0,0,1,13.35925277,0,0,Mixed,ecto,2,2,NA,NA,NA,NA,NA,NA,NA
Pinus longaeva,0.447,246.5264429,11.39508272,15.01666667,25,0.0976,0,0,0,5.16382,0,0,All forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus monophylla,0.484398333,752.4194246,11.39508272,63,474.9070128,142.8,0,0,1,13.26600408,0,0,>90% forest,NA,1,2,37.16319084,666.6666667,49.01937925,437.6312598,4842.105263,534.17358,18.288
Pinus monticola,0.385,170,15,61,18.54824569,0.3785,0,0,1,9.899899767,0,0,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Pinus palustris,0.593333333,279.8299596,8.75,35.63333333,95.28951451,0.0859,0,1,1,10.228072,0,0,Woodland,ecto,1,3,NA,NA,NA,NA,NA,NA,NA
Pinus ponderosa,0.443535469,240,12.610725,54.47096774,38.57169058,0.7265,0,0,1,14.18257674,0,0,>90% forest,ecto,3,3,35.76035038,339.1329991,90.78947368,455.5798946,11500,534.17358,16.002
Pinus pungens,0.52,290,9.2,25,13.23780556,0.306,1,0,1,6.884142893,0,0,Mixed,NA,2,2,55.34759358,121.5092016,54.13652454,437.6312598,1809.459131,534.17358,12.446
Pinus radiata,0.403333333,121.9268741,11.39508272,29.36363636,34.34139937,0.1478,1,0,1,9.3,0,0,Mixed,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Pinus rigida,0.495,130,12.14285715,26.5,7.406448323,0.485,1,0,1,13.057378,1,0,Woodland,ecto,0,1,NA,NA,NA,NA,NA,NA,NA
Pinus sabiniana,0.47,200,11,22.975,639.9061098,0.1941,0,0,1,15,1,1,Mixed,NA,1,2,37.81080897,135.2941176,27.87878788,702.2900763,4600,1045.454545,11.43
Pinus serotina,0.545,130,11.39508272,22,8.29364771,0.2905,1,0,1,6.646926,1,0,Mixed,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Pinus strobus,0.356666667,280,12.46639791,49.68,16.71211212,0.2593,0,0,1,11.09282036,1,1,Mixed,ecto,2,0,NA,NA,NA,NA,NA,NA,NA
Pinus taeda,0.489450467,140,11.7783,44.14117647,26.16941011,0.7556,0,0,1,11.2,1,0,All forest,ecto,3,0,29.56826942,775.2808993,41.97178367,323.5072562,4181.818182,311.1895643,11.43
Pinus virginiana,0.485,220,11,25.3,8.169563611,0.2905,1,NA,NA,NA,NA,NA,NA,ecto,3,3,45.25560334,101.590106,100.0694317,527.0833332,1427.832383,848.4149856,13.208
Pinus washoensis,0.45,220,11,22,8,0.2905,NA,0,0,5.4,0,0,All forest,NA,3,2,33.719186,113.6308049,40.58708698,184.3633454,286.4967596,196.5342206,8.382
Platanus racemosa,0.498,70.5,21.25,26,3.141861416,0.9177,NA,0,1,6.646926,1,0,>90% forest,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Plectroniella armata,0.498,138.8107781,NA,26,180.42,0.9177,NA,NA,NA,7.5998578,NA,NA,NA,am,1,2,NA,NA,NA,NA,NA,NA,NA
ponderosa/Pinus jeffreyi,0.37,290,11,49,120,0.9393,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
Populus angustifolia,0.355,76,19.32239514,19,2.401612319,0.2027,NA,0,0,11.79068,1,1,Mixed,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Populus balsamifera,0.362,75,18.125019,28.0625,0.684545455,0.2027,NA,0,0,4.0299386,1,1,Mixed,NA,3,1,NA,NA,NA,NA,NA,NA,NA
Populus fremontii,0.355,96,15.8,24.66666667,0.56,0.2818,NA,0,0,11.79068,1,1,Woodland,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Populus grandidentata,0.385,59,22,23,0.141973279,0.2499,NA,NA,NA,NA,NA,NA,NA,ecto,0,1,26.38623327,48.93617021,400,212.3076923,561.7500301,184.1292029,9.906
Populus tremuloides,0.395518064,73,20.68695669,23.15,0.115859129,0.237,NA,0,0,6.2349126,1,1,Mixed,NA,3,1,NA,NA,NA,NA,NA,NA,NA
Populus trichocarpa,0.34,97,20,38.46153846,0.97,0.9854,NA,0,0,5.219911667,1,1,>90% forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Protea gaguedi,NA,342.5,5.8,3,55.6625,0.11,0,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus,0.44772,107.7354242,25,11.6,133.5,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus emarginata,0.44772,67,25,10.33333333,55.36170293,NA,NA,0,1,4.0299386,1,NA,Mixed,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Prunus mexicana,0.44772,107.7354242,25,7.9,473.29625,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,18.67522104,45.5360865,26.6868149,291.3391119,378.0064466,265.5926428,10.16
Prunus pensylvanica,0.36,58,24,21.66666667,41.74990761,0.0875,NA,NA,NA,NA,NA,NA,NA,am,3,1,19.04131137,383.3333333,26.6868149,226.2295082,378.0064466,265.5926428,11.43
Prunus serotina,0.564950126,64,23,28.2,122.6659305,0.1242,NA,NA,NA,NA,NA,NA,NA,am,1,2,20.48952433,69.6969697,335.7664234,222.3505755,341.4066945,265.5926428,7.62
Prunus spp.,0.44772,85,25,11.6,130,0.168,NA,NA,NA,4.0299386,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Prunus virginiana,0.44772,70,19,7.5,78.81970237,NA,NA,NA,NA,NA,NA,NA,NA,am,3,NA,19.37112186,77.0868835,38.50021798,242.912651,364.9647012,265.5926428,10.16
Pseudotsuga macrocarpa,0.462,140,12.28327551,30.52,100.3691704,0.3479,0,1,0,11.500866,0,1,>90% forest,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Pseudotsuga menziesii,0.457909097,140,12.28327551,81.33275862,15.65141568,0.54864,0,0,0,12.53618755,0,0,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Pterocarpus angolensis,0.55917575,85,20,15,220.01875,NA,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterocarpus rotundifolius,0.96,154.2971764,24.5,10,250,0.6,NA,NA,NA,NA,NA,NA,NA,nfix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus,0.695,69.79377051,22,11,2757.49226,0.9,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus agrifolia,0.6666,160,13.61625,18.66666667,2269.804481,0.1375,NA,0,1,16.094837,1,1,Woodland,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Quercus alba,0.558501522,75,20.91866491,30.25,2962.852377,0.449,NA,0,0,8.3,1,1,>90% forest,ecto,2,2,20.97881601,62.17616581,47.18129236,293.5129803,713.1782946,442.3947871,7.366
Quercus chrysolepis,0.7,200,10,25.08571429,3778.214524,0.2499,NA,0,1,11.1765969,1,1,Mixed,ecto,2,3,14.53724605,73.1251785,32.56893387,496.4416541,751.4503028,343.3995658,6.096
Quercus coccinea,0.539681965,92,13.84166667,25.11111111,1930.718224,1.0554,NA,1,0,7.8,1,1,All forest,ecto,2,2,29.84031935,102.2222222,32.56893387,790.8309451,4600,343.3995658,10.16
Quercus douglasii,0.75,130,18.98995356,19.94,10939.19846,0.1839,NA,0,0,11.9258461,1,1,Woodland,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Quercus ellipsoidalis,0.693,74,21,21,1664.644987,0.25,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,20.02067352,81.4159292,31.94444444,320.5313471,3833.333333,343.3995658,10.414
Quercus emoryi,0.693,105.8792759,17.61946896,20,191,0.1671,NA,0,0,7.450989289,1,1,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus engelmanni,0.693,150,20.5,12,2423,0.0993,NA,NA,NA,17.4358808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus falcata,0.608570987,90,16,23.625,809.3408548,0.325,NA,NA,NA,NA,NA,NA,NA,NA,1,3,30.87593691,73.1251785,32.56893387,320.5313471,751.4503028,343.3995658,11.176
Quercus gambelii,0.625037778,78,23.63831579,16,859.7636925,0.1518,NA,1,1,8.08,1,1,Mixed,NA,3,1,NA,NA,NA,NA,NA,NA,NA
Quercus garryana,0.6675,131.6536736,17.61946896,23.38181818,4600.148272,0.2499,NA,0,1,9.200310975,1,1,Woodland,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Quercus gravesii,0.693,150,20.5,13,2423,0.9,NA,NA,NA,5.539824471,NA,NA,Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus grisea,0.693,105.8792759,17.61946896,15.33333333,2757.49226,0.0993,NA,NA,NA,7.965442603,1,1,Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus hemisphaerica,0.69,108.8305986,17.61946896,9.1,2757.49226,1.5,NA,NA,NA,NA,NA,NA,NA,ecto,NA,NA,31.66681009,73.1251785,32.56893387,320.5313471,751.4503028,343.3995658,11.43
Quercus hypoleucoides,0.693,105.8792759,17.61946896,11,2757.49226,0.0875,NA,NA,NA,7.215882865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus incana,0.71,98,10.75,14.025,1000,NA,NA,NA,NA,13.76502016,1,1,Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus kelloggii,0.58,110,16.71083334,40,5040.212832,1.0554,NA,0,1,11.8535069,1,1,>90% forest,ecto,1,NA,25.24813612,73.1251785,32.56893387,201.3129103,751.4503028,343.3995658,7.62
Quercus laevis,0.653545051,110,12.4625,17.75,2125.877579,0.1242,NA,NA,NA,16.378,NA,NA,Woodland,NA,2,3,NA,NA,NA,NA,NA,NA,NA
Quercus lobata,0.7,110,22.59583334,25,4518.949898,0.325,NA,0,1,13.682091,1,NA,Mixed,NA,1,2,NA,NA,NA,NA,NA,NA,NA
Quercus macrocarpa,0.625,78,22,31.22222222,5969.782194,1.0554,NA,NA,NA,NA,NA,NA,NA,ecto,3,3,25.40494231,73.1251785,32.56893387,320.5313471,751.4503028,343.3995658,11.43
Quercus margarettae,0.693,84.9617672,20.5,13,2423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.43673786,73.1251785,43.60189573,207.0316966,751.4503028,343.3995658,10.668
Quercus marilandica,0.693,88.30902242,14,20,1561.613965,0.1242,NA,NA,NA,14.09968232,1,1,Mixed,ecto,1,NA,NA,NA,NA,NA,NA,NA,NA
Quercus montana,0.693,105.8792759,14,14,4539,0.1242,NA,NA,NA,16.46,1,1,Woodland,ecto,NA,NA,25.40494231,73.1251785,32.56893387,320.5313471,751.4503028,343.3995658,9.398
Quercus muehlenbergii,0.693,52.95016757,17.61946896,22,1180.814354,0.2818,NA,NA,0,4.068381022,1,1,All forest,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Quercus nigra,0.65581582,78,14.45,30.25,1140.912124,0.2027,NA,NA,NA,9.429855276,1,1,All forest,ecto,3,1,24.2344036,88.23506242,33.31989339,316.6322055,660.33871,359.7515683,9.144
Quercus phellos,0.644043855,100,17.61946896,31.875,1181.664342,1.1276,NA,NA,NA,NA,NA,NA,NA,ecto,2,0,24.79784367,73.1251785,32.56893387,320.5313471,751.4503028,343.3995658,10.414
Quercus prinus,0.57,105.8792759,17.61946896,43,2757.49226,NA,NA,NA,NA,11.7,1,1,All forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus pungens,0.693,105.8792759,20.5,5.666666667,2423,NA,NA,1,0,4.548588261,1,1,Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus rubra,0.501882406,69,21.29770629,32.64705882,3015.50662,0.9854,NA,NA,0,5.5,1,NA,All forest,ecto,3,1,21.11699186,61.07095442,35.79599633,293.2972025,484.2105263,419.7086323,10.668
Quercus stellata,0.704665463,57,16,20.98333333,1260.086649,0.1839,NA,NA,NA,NA,NA,NA,NA,ecto,2,3,27.75814209,73.1251785,32.56893387,319.222762,751.4503028,343.3995658,11.176
Quercus velutina,0.615,85,19.215,33.7,2006.576065,1.2788,NA,NA,NA,10.1,1,1,Woodland,ecto,0,1,24.18506835,621.6216216,32.56893387,336.5853658,751.4503028,343.3995658,11.43
Quercus virginiana,0.901,140,15,16,1254.37559,NA,NA,NA,NA,NA,NA,NA,NA,ecto,1,2,24.2344036,88.23506242,33.31989339,316.6322055,660.33871,359.7515683,12.7
Quercus wislizeni,0.7203,150,17.61946896,18.475,3631.709711,0.0875,NA,NA,0,16.107156,1,1,Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus wislizenii,0.693,150,17.61946896,11,3600,0.0875,NA,NA,0,6.3689992,1,1,Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamnus cathartica,0.620089543,60,24,3.916666667,27.70079933,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,17.65628939,NA,46.46464646,271.5199212,NA,284.3473155,NA
Rhus glabra,NA,62.3182213,17,4.1,8.786834255,NA,NA,NA,NA,NA,NA,NA,NA,am,3,NA,NA,NA,NA,NA,NA,NA,NA
Rhus pentheri,NA,99.38021099,18,4.2,6.41,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhus transvaalensis,NA,80.84921614,17.5,4.15,7,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhus typhina,0.45,64,24,8.95,10,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,17.4749905,35.87844831,304.6357616,143.75,571.2911131,166.9204781,NA
Robinea pseudoacacia,0.7333,NA,NA,52,230,1.6,NA,NA,NA,10.3,1,1,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salix spp.,0.408,81.25,24.5,5.2,0.91,0.1115,NA,NA,NA,4.9224184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sassafras albidum,0.4635,46,NA,24,82.15060412,0.0759,NA,NA,NA,NA,NA,NA,NA,am,3,3,18.69918699,34.90574071,27.33245603,197.4928651,989.6027516,207.5327263,8.89
Schotia brachypetala,NA,180,NA,12,895.88,0.6,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sclerocarya birrea,0.505326667,122.9879235,18,7.6,3078.338333,0.0481,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Searsia pyroides,1.00737,NA,NA,9,8.75,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senna petersiana,NA,NA,25,8,43.31,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sequoia sempervirens,0.500733567,250,10.1631579,103.1263158,5.012546792,2.0385,NA,NA,1,13.69053777,1,1,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Sequoiadendron giganteum,0.512748179,1000,NA,88.31538462,5.809871972,8.8,NA,0,1,8.1244059,1,0,All forest,am,0,NA,34.70563087,82.57983471,39.78288356,1500.264014,1191.331797,168.1436919,20.574
Smilax australis,NA,88.67388047,14,9.6,35.2845,0.05,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spirostachys africana,0.824836667,73.1772208,20,9.2,NA,0.0666,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strychnos cocculoides,0.64575,110,17,3.6,488.2222222,0.25,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strychnos madagascariensis,0.66297,103.5947374,17,8,1343.84,0.6,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strychnos spinosa,0.64575,110,17,10,411.25,0.25,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncarpia glomulifera,0.772859429,107.7992578,NA,20,1.846100034,0.224,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium cordatum,0.619887046,NA,16,11,2222,0.0875,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium guineense,0.609556259,NA,16,4.2,2222,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taxus brevifolia,0.657874017,73,NA,14.55555556,29.95576881,0.1217,NA,1,0,7.26783408,0,0,All forest,NA,1,2,NA,NA,NA,NA,NA,NA,NA
Terminalia prunioides,0.91992,97.70395701,27,10,148.0057143,0.0759,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminalia sericea,0.71463,158.9403974,14,8.3,288,0.0563,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thuja plicata,0.463649591,57,10.3,57.48333333,1.293662936,0.9076,NA,1,0,4.9693449,0,0,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Tilia americana,0.36,40,26,32.85714286,87.67943667,0.2243,NA,NA,NA,NA,NA,NA,NA,ecto,3,1,18.66596078,30.66666667,323.943662,193.2104179,288.0584836,195.4412348,9.652
Tilia heterophylla,0.405,40,26,30,71,1.0154,NA,NA,NA,8.4,1,1,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Torreya californica,0.42,NA,NA,19.4,2876.891665,0.1217,NA,NA,NA,7.5998578,1,1,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoneura emetica,NA,76,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tsuga canadensis,0.413333333,130,12.25859246,32.66428571,5.156339792,0.3696,0,1,0,8,0,0,All forest,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Tsuga heterophylla,0.43,70,11.61,49.6,1.956691999,0.815,0,1,0,6.5666874,0,0,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Tsuga mertensiana,0.465,330,11.995,40,3.939364361,0.3696,0,1,0,7.895743581,0,0,All forest,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Turraea nilotica,0.66297,NA,NA,10,15.1,0.0759,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ulmus,0.554,68.333,20.25,25.4,20.41,0.6264,NA,NA,NA,NA,NA,NA,NA,ecto,1,2,NA,NA,NA,NA,NA,NA,NA
Ulmus alata,0.665,47,20,23.25,4.016504702,0.1115,NA,NA,NA,NA,NA,NA,NA,am,NA,1,25.20547945,31.30408962,28.45032652,229.3727431,695.1125952,134.2301242,7.874
Ulmus americana,0.505,80,19,37,5.288337951,1.7857,NA,NA,NA,NA,NA,NA,NA,am,1,2,23.22373749,45.54455446,40.00347856,274.7179828,575,134.2301242,7.874
Ulmus rubra,0.525,64,20,32.625,10.89102092,0.9854,NA,NA,NA,NA,NA,NA,NA,am,1,2,NA,NA,NA,NA,NA,NA,8.128
Umbellularia californica,0.5135,120,15.844075,30.06,1794.683587,0.9854,NA,1,1,10.5602278,1,0,>90% forest,NA,2,1,NA,NA,NA,NA,NA,NA,NA
